No,ClassNum,Hamburger,Pizza,Cat,Dog,Summer
1,201912043,10,9,1,10,1
2,201912052,10,5,9,10,0
3,201912056,9,8,10,5,1
4,201912063,10,10,6,7,1
5,201912041,9,5,6,10,0
6,201912040,8,7,4,9,0
7,201912065,10,10,7,7,3
8,201912066,7,10,5,5,0
9,201912037,8,7,7,9,3
10,201912049,8,4,8,10,3
11,201909059,8,8,5,5,3
12,202112407,10,10,10,8,2
13,201712039,6,8,3,9,7
14,201812057,8,7,7,7,8
15,201818064,7,10,8,2,2
16,202112045,3,7,7,8,6
17,201912048,10,10,5,10,8
18,201912057,10,10,0,8,3
19,201912047,10,10,10,3,3
20,201912029,5,1,10,2,10
21,202012068,5,5,10,9,3
22,202112065,5,5,10,10,1
23,202112055,8,6,3,5,1
24,201912061,4,3,1,10,5
25,201612038,10,10,10,10,0
