loc,mdate,SO2,CO,O3,NO2,PM10,PM25
111123,2019100101,0.003,0.8,0.008,0.066,53,43
111123,2019100102,0.004,0.8,0.008,0.062,52,40
111123,2019100103,0.003,0.8,0.008,0.055,51,39
111123,2019100104,0.003,0.7,0.01,0.045,54,40
111123,2019100105,0.004,0.7,0.009,0.041,56,43
111123,2019100106,0.003,0.6,0.021,0.029,50,39
111123,2019100107,0.003,0.6,0.01,0.039,48,37
111123,2019100108,0.004,0.8,0.005,0.048,49,38
111123,2019100109,0.004,0.8,0.01,0.049,49,37
111123,2019100110,0.004,0.7,0.02,0.045,45,32
111123,2019100111,0.004,0.7,0.024,0.045,35,29
111123,2019100112,0.004,0.6,0.034,0.034,36,26
111123,2019100113,0.003,0.5,0.035,0.031,35,26
111123,2019100114,0.004,0.6,0.032,0.037,41,29
111123,2019100115,0.003,0.6,0.034,0.036,41,29
111123,2019100118,0.004,0.5,0.029,0.035,34,26
111123,2019100119,0.003,0.6,0.02,0.04,46,28
111123,2019100120,0.003,0.5,0.017,0.034,43,31
111123,2019100121,0.004,0.4,0.019,0.023,33,28
111123,2019100122,0.005,0.4,0.014,0.026,28,23
111123,2019100123,0.005,0.5,0.012,0.029,30,23
111123,2019100124,0.005,0.6,0.009,0.033,34,27
111123,2019100201,0.004,0.5,0.007,0.035,43,32
111123,2019100202,0.004,0.5,0.007,0.033,35,28
111123,2019100203,0.004,0.5,0.011,0.025,38,30
111123,2019100204,0.004,0.5,0.011,0.021,30,26
111123,2019100205,0.003,0.4,0.012,0.018,33,26
111123,2019100206,0.004,0.5,0.009,0.019,31,25
111123,2019100207,0.003,0.5,0.006,0.024,33,26
111123,2019100208,0.003,0.6,0.006,0.024,28,23
111123,2019100209,0.004,0.5,0.006,0.025,26,23
111123,2019100210,0.004,0.7,0.005,0.028,28,23
111123,2019100211,0.003,0.6,0.006,0.028,33,22
111123,2019100212,0.003,0.5,0.01,0.023,26,19
111123,2019100213,0.003,0.5,0.01,0.022,18,14
111123,2019100214,0.003,0.4,0.009,0.019,18,11
111123,2019100215,0.003,0.5,0.008,0.019,25,11
111123,2019100216,0.003,0.5,0.006,0.021,16,11
111123,2019100217,0.003,0.5,0.005,0.021,13,11
111123,2019100218,0.002,0.4,0.005,0.02,9,8
111123,2019100219,0.003,0.4,0.005,0.021,9,8
111123,2019100220,0.002,0.5,0.007,0.018,7,6
111123,2019100221,0.003,0.5,0.006,0.018,6,5
111123,2019100222,0.003,0.4,0.008,0.016,7,6
111123,2019100223,0.003,0.3,0.013,0.01,6,4
111123,2019100224,0.003,0.3,0.011,0.012,4,3
111123,2019100301,0.003,0.3,0.013,0.008,6,3
111123,2019100302,0.003,0.3,0.013,0.009,4,2
111123,2019100303,0.002,0.3,0.015,0.006,5,3
111123,2019100304,0.003,0.3,0.017,0.006,4,2
111123,2019100305,0.003,0.3,0.017,0.006,4,1
111123,2019100306,0.002,0.3,0.013,0.008,3,1
111123,2019100307,0.003,0.3,0.012,0.01,6,3
111123,2019100308,0.003,0.3,0.008,0.017,4,3
111123,2019100309,0.002,0.3,0.01,0.017,4,1
111123,2019100310,0.003,0.3,0.014,0.013,7,1
111123,2019100311,0.003,0.3,0.015,0.011,8,2
111123,2019100312,0.003,0.3,0.02,0.01,7,2
111123,2019100313,0.003,0.3,0.024,0.007,6,4
111123,2019100314,0.003,0.3,0.026,0.007,4,2
111123,2019100315,0.003,0.4,0.026,0.008,8,3
111123,2019100316,0.003,0.4,0.026,0.008,17,5
111123,2019100317,0.002,0.4,0.027,0.008,10,8
111123,2019100318,0.003,0.4,0.025,0.01,9,7
111123,2019100319,0.003,0.4,0.02,0.015,17,14
111123,2019100320,0.003,0.5,0.014,0.023,15,12
111123,2019100321,0.003,0.5,0.013,0.025,16,11
111123,2019100322,0.002,0.5,0.011,0.026,16,13
111123,2019100323,0.003,0.5,0.01,0.025,16,14
111123,2019100324,0.002,0.6,0.004,0.034,17,12
111123,2019100401,0.003,0.5,0.002,0.034,19,13
111123,2019100402,0.002,0.5,0.003,0.03,18,13
111123,2019100403,0.003,0.5,0.003,0.029,18,13
111123,2019100404,0.003,0.5,0.002,0.027,16,11
111123,2019100405,0.002,0.5,0.006,0.021,16,12
111123,2019100406,0.003,0.4,0.005,0.021,14,11
111123,2019100407,0.003,0.5,0.002,0.025,15,9
111123,2019100408,0.003,0.6,0.004,0.024,16,9
111123,2019100409,0.003,0.5,0.007,0.024,12,6
111123,2019100410,0.003,0.5,0.011,0.024,14,8
111123,2019100411,0.003,0.5,0.012,0.026,22,11
111123,2019100412,0.004,0.5,0.012,0.03,20,12
111123,2019100413,0.003,0.4,0.019,0.027,21,14
111123,2019100414,0.003,0.5,0.029,0.021,22,17
111123,2019100415,0.004,0.5,0.038,0.025,27,26
111123,2019100416,0.004,0.5,0.038,0.027,37,27
111123,2019100417,0.004,0.4,0.034,0.026,29,20
111123,2019100418,0.004,0.5,0.03,0.025,24,19
111123,2019100419,0.004,0.6,0.028,0.031,27,20
111123,2019100420,0.005,0.7,0.03,0.036,41,32
111123,2019100421,0.004,0.8,0.03,0.032,53,41
111123,2019100422,0.004,0.8,0.026,0.027,66,49
111123,2019100423,0.004,0.7,0.026,0.024,71,53
111123,2019100424,0.005,0.7,0.027,0.019,62,46
111123,2019100501,0.005,0.7,0.031,0.014,61,43
111123,2019100502,0.004,0.6,0.033,0.013,54,40
111123,2019100503,0.004,0.6,0.034,0.011,56,39
111123,2019100504,0.004,0.6,0.032,0.011,52,36
111123,2019100505,0.004,0.6,0.028,0.012,57,37
111123,2019100506,0.004,0.6,0.026,0.014,54,36
111123,2019100507,0.003,0.6,0.02,0.02,55,37
111123,2019100508,0.004,0.6,0.016,0.023,54,33
111123,2019100509,0.003,0.5,0.012,0.023,55,33
111123,2019100510,0.003,0.5,0.012,0.017,49,28
111123,2019100511,0.003,0.5,0.011,0.019,44,24
111123,2019100512,0.003,0.5,0.011,0.017,47,27
111123,2019100513,0.003,0.5,0.019,0.012,45,25
111123,2019100514,0.003,0.5,0.025,0.015,40,24
111123,2019100515,0.003,0.5,0.027,0.013,38,27
111123,2019100516,0.003,0.4,0.021,0.011,34,22
111123,2019100517,0.003,0.3,0.018,0.009,15,7
111123,2019100518,0.002,0.4,0.017,0.011,7,4
111123,2019100519,0.003,0.3,0.018,0.009,7,4
111123,2019100520,0.003,0.3,0.018,0.009,6,3
111123,2019100521,0.002,0.4,0.017,0.011,3,3
111123,2019100522,0.002,0.3,0.017,0.01,4,3
111123,2019100523,0.002,0.3,0.018,0.011,5,1
111123,2019100524,0.003,0.3,0.02,0.01,4,3
111123,2019100601,0.002,0.3,0.021,0.009,5,3
111123,2019100602,0.002,0.3,0.022,0.007,6,4
111123,2019100603,0.003,0.3,0.023,0.006,8,4
111123,2019100604,0.002,0.3,0.024,0.006,8,3
