No,ClassNum,Hamburger,Pizza,Cat,Dog,Summer,cluster
1,201608045,10,9,8,7,6,3
2,201612010,10,10,7,6,3,1
3,201612038,10,10,10,10,0,2
4,201712010,10,8,6,2,5,1
5,201712039,6,8,3,9,7,3
6,201809065,10,10,10,10,5,3
7,201812004,7,7,8,9,5,3
8,201812012,8,6,8,6,3,2
9,201812013,10,10,1,1,1,1
10,201812024,10,10,10,10,1,2
11,201812057,8,7,7,7,8,3
12,201818064,7,10,8,2,2,1
13,201908074,10,8,5,5,3,1
14,201909059,8,8,5,5,3,1
15,201912002,7,7,10,10,0,2
16,201912008,10,10,10,10,0,2
17,201912009,8,8,3,3,3,1
18,201912012,10,10,10,10,10,3
19,201912014,10,5,10,7,1,2
20,201912016,10,10,10,10,7,3
21,201912017,10,10,10,10,3,2
22,201912018,10,10,1,3,1,1
23,201912021,7,7,7,8,6,3
24,201912022,7,6,6,6,3,1
25,201912024,8,10,3,4,5,1
26,201912027,10,10,10,10,1,2
27,201912028,6,7,4,10,5,3
28,201912029,5,1,10,2,10,3
29,201912037,8,7,7,9,3,2
30,201912040,8,7,4,9,0,1
31,201912041,9,5,6,10,0,2
32,201912043,10,9,1,10,1,1
33,201912047,10,10,10,3,3,1
34,201912048,10,10,5,10,8,3
35,201912049,8,4,8,10,3,2
36,201912052,10,5,9,10,0,2
37,201912056,9,8,10,5,1,2
38,201912057,10,10,0,8,3,1
39,201912061,4,3,1,10,5,3
40,201912063,10,10,6,7,1,1
41,201912065,10,10,7,7,3,1
42,201912066,7,10,5,5,0,1
43,202012016,10,3,10,10,0,2
44,202012029,10,10,10,10,5,3
45,202012030,5,5,8,4,1,1
46,202012068,5,5,10,9,3,2
47,202028011,3,5,5,7,0,1
48,202109042,5,5,10,7,0,2
49,202112004,5,5,5,5,5,1
50,202112009,10,10,10,10,1,2
51,202112021,10,10,8,10,1,2
52,202112023,8,8,8,10,5,3
53,202112031,5,3,7,9,3,2
54,202112032,10,7,1,9,5,1
55,202112045,3,7,7,8,6,3
56,202112055,8,6,3,5,1,1
57,202112065,5,5,10,10,1,2
58,202112402,9,9,9,10,7,3
59,202112407,10,10,10,8,2,2
